Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Pret A Manger US""","""Banana""","""1 banana ( None g )""",110,0,0,0,,,0,27,3,14,1,,,,
"""Pret A Manger US""","""Banana & Honey Pot""","""1 pot ( 248 g )""",400,126,14,6,,,75,53,4,39,19,,,,
"""Pret A Manger US""","""Bang Bang Chicken Wrap""","""1 wrap ( 262 g )""",490,198,22,2.5,,,660,46,4,8,28,,,,
"""Pret A Manger US""","""BBQ Chips""","""1 serving ( 42 g )""",230,99,11,1,,,320,26,2,2,3,,,,
"""Pret A Manger US""","""BBQ Pulled Pork Hot Wrap""","""1 wrap ( 243 g )""",560,144,16,6,,,1300,86,2,26,20,,,,
"""Pret A Manger US""","""Bircher Muesli""","""1 pot ( 168 g )""",290,90,10,4,,,90,37,3,25,15,,,,
"""Pret A Manger US""","""Blondie Bite""","""1 serving ( None g )""",190,0,0,4.5,,,40,0,0,18,2,,,,
"""Pret A Manger US""","""Blueberry & Granola Pot""","""1 pot ( 174 g )""",290,99,11,5,,,110,31,3,19,17,,,,
"""Pret A Manger US""","""Blueberry Muffin""","""1 muffin ( 128 g )""",420,144,16,5,,,370,63,1,35,7,,,,
"""Pret A Manger US""","""Blueberry Yogurt Pot""","""1 pot ( 96 g )""",80,36,4,2.5,,,35,4,0,3,8,,,,
"""Pret A Manger US""","""Brewed Organic Coffee""","""12 oz ( 340 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Broccoli & Aged Cheddar Soup, Regular""","""1 serving ( 348 g )""",450,270,30,20,,,1310,27,4,5,20,,,,
"""Pret A Manger US""","""Broccoli & Aged Cheddar Soup, Small""","""1 serving ( 251 g )""",260,153,17,11,,,750,15,2,3,11,,,,
"""Pret A Manger US""","""Brownie Bite""","""1 serving ( 43 g )""",190,90,10,6,,,55,24,1,19,2,,,,
"""Pret A Manger US""","""Caesar Dressing""","""1 serving ( 28 g )""",170,153,17,1,,,110,3,0,1,1,,,,
"""Pret A Manger US""","""California Club Sandwich""","""1 sandwich ( 294 g )""",390,144,16,2.5,,,700,41,6,7,22,,,,
"""Pret A Manger US""","""Cappuccino""","""12 oz ( 340 g )""",70,0,0,0,,,130,14,0,13,8,,,,
"""Pret A Manger US""","""Caramel Latte""","""12 oz ( 340 g )""",160,0,0,0,,,160,29,0,27,10,,,,
"""Pret A Manger US""","""Carrot Cake Cookie""","""1 cookie ( 71 g )""",270,126,14,9,,,220,35,1,21,3,,,,
"""Pret A Manger US""","""Carrot Ginger Miso""","""1 serving ( 56 g )""",140,99,11,1.5,,,520,10,0,3,2,,,,
"""Pret A Manger US""","""Chai Latte""","""1 serving ( 340 g )""",190,0,0,0,,,160,37,0,35,10,,,,
"""Pret A Manger US""","""Chicken & Bacon Sandwich""","""1 sandwich ( 167 g )""",480,243,27,3,,,660,35,3,4,26,,,,
"""Pret A Manger US""","""Chicken & Edamame Protein Pot""","""1 pot ( 146 g )""",210,63,7,1,,,340,14,3,1,21,,,,
"""Pret A Manger US""","""Chicken Avocado Salad""","""1 salad ( 325 g )""",400,207,23,3,,,550,25,10,10,27,,,,
"""Pret A Manger US""","""Chicken Caesar & Bacon On Artisan Baguette Baguette""","""1 sandwich ( 186 g )""",660,270,30,4,,,830,61,5,3,33,,,,
"""Pret A Manger US""","""Chicken Mozzarella Baguette""","""1 sandwich ( 230 g )""",550,180,20,7,,,960,57,4,6,31,,,,
